training,subset_size,fold,order_index,macro_f1
random-order trained,6,0,18,0.6851187412504492
random-order trained,6,0,19,0.6909468673544165
random-order trained,6,0,20,0.6905543468055257
random-order trained,6,0,21,0.6860305375706552
random-order trained,6,0,22,0.698470915056045
random-order trained,6,0,23,0.6983609624333289
random-order trained,6,1,0,0.6697479737750007
random-order trained,6,1,1,0.6628732666896514
random-order trained,6,1,2,0.6688028085352914
random-order trained,6,1,3,0.6528413967604174
random-order trained,6,1,4,0.6628732666896514
random-order trained,6,1,5,0.6628732666896514
random-order trained,6,1,6,0.6496819968662503
random-order trained,6,1,7,0.6615102247491735
random-order trained,6,1,8,0.6719111689814815
random-order trained,6,1,9,0.668986109029521
random-order trained,6,1,10,0.6509375286014865
random-order trained,6,1,11,0.670864214305962
random-order trained,6,1,12,0.6621974237661823
random-order trained,6,1,13,0.6480382565018465
random-order trained,6,1,14,0.644743441570981
random-order trained,6,1,15,0.6711782005934156
random-order trained,6,1,16,0.6528562110631213
random-order trained,6,1,17,0.6646172494273246
random-order trained,6,1,18,0.6715094942016581
random-order trained,6,1,19,0.6646855275917691
random-order trained,6,1,20,0.6519021180448659
random-order trained,6,1,21,0.661508725444354
random-order trained,6,1,22,0.6679880627440204
random-order trained,6,1,23,0.6711782005934156
random-order trained,6,2,0,0.6609196581336425
random-order trained,6,2,1,0.6733096887545365
random-order trained,6,2,2,0.6676174247633453
random-order trained,6,2,3,0.6630964131861148
random-order trained,6,2,4,0.6730187665267158
random-order trained,6,2,5,0.674715900234285
random-order trained,6,2,6,0.6627333673344162
random-order trained,6,2,7,0.6703734796754597
random-order trained,6,2,8,0.6647295818669694
random-order trained,6,2,9,0.6729671840390258
random-order trained,6,2,10,0.6609789302918495
random-order trained,6,2,11,0.667129742747282
random-order trained,6,2,12,0.6670232523045949
random-order trained,6,2,13,0.6614026157723281
random-order trained,6,2,14,0.6630205754803116
random-order trained,6,2,15,0.6699339125872126
random-order trained,6,2,16,0.6619272350891038
random-order trained,6,2,17,0.6674933286788876
random-order trained,6,2,18,0.6625161939459521
random-order trained,6,2,19,0.6666818734440271
random-order trained,6,2,20,0.6615330335977523
random-order trained,6,2,21,0.665063014313555
random-order trained,6,2,22,0.6687774871050443
random-order trained,6,2,23,0.6702724060836064
fixed-order trained,2,0,0,0.43933494207094126
fixed-order trained,2,0,1,0.47006411455537417
fixed-order trained,2,1,0,0.4188148580546588
fixed-order trained,2,1,1,0.4390583133642888
fixed-order trained,2,2,0,0.3922483415900348
fixed-order trained,2,2,1,0.42098094272899994
fixed-order trained,3,0,0,0.5929391279938905
fixed-order trained,3,0,1,0.5977637201947126
fixed-order trained,3,0,2,0.6407124850353625
fixed-order trained,3,0,3,0.6387137942801758
fixed-order trained,3,0,4,0.6154873339526569
fixed-order trained,3,0,5,0.6146450094909
fixed-order trained,3,1,0,0.6116876342234201
fixed-order trained,3,1,1,0.6037250154309901
fixed-order trained,3,1,2,0.663040836245553
fixed-order trained,3,1,3,0.6881866484567795
fixed-order trained,3,1,4,0.6846415205824601
fixed-order trained,3,1,5,0.683267795926598
fixed-order trained,3,2,0,0.5983765303005675
fixed-order trained,3,2,1,0.5902055944263912
fixed-order trained,3,2,2,0.6359295380177346
fixed-order trained,3,2,3,0.6384530949571928
fixed-order trained,3,2,4,0.6076340586917284
fixed-order trained,3,2,5,0.6101378507899915
fixed-order trained,4,0,0,0.5782299381489949
fixed-order trained,4,0,1,0.5697860878220071
fixed-order trained,4,0,2,0.5870558679628002
fixed-order trained,4,0,3,0.5868120473074581
fixed-order trained,4,0,4,0.5693006766718715
fixed-order trained,4,0,5,0.5744113601264931
fixed-order trained,4,0,6,0.6413154146745541
fixed-order trained,4,0,7,0.6414871782578663
fixed-order trained,4,0,8,0.6388013669815162
fixed-order trained,4,0,9,0.638547403125129
fixed-order trained,4,0,10,0.6419431393571053
fixed-order trained,4,0,11,0.6461150587146791
fixed-order trained,4,0,12,0.6137295151379658
fixed-order trained,4,0,13,0.6126259680188461
fixed-order trained,4,0,14,0.6137295151379658
fixed-order trained,4,0,15,0.6145795928560255
fixed-order trained,4,0,16,0.6137295151379658
fixed-order trained,4,0,17,0.616323439422302
fixed-order trained,4,0,18,0.6049543083096013
fixed-order trained,4,0,19,0.6086962314341245
fixed-order trained,4,0,20,0.6152434117924661
fixed-order trained,4,0,21,0.6202297422139863
fixed-order trained,4,0,22,0.6240100514349911
fixed-order trained,4,0,23,0.627381470366869
fixed-order trained,4,1,0,0.6291349417790686
fixed-order trained,4,1,1,0.6276717851044866
fixed-order trained,4,1,2,0.6098904699893128
fixed-order trained,4,1,3,0.6047444904228824
fixed-order trained,4,1,4,0.6110823877252707
fixed-order trained,4,1,5,0.6053978145108603
fixed-order trained,4,1,6,0.6971146323643229
fixed-order trained,4,1,7,0.6994552253390558
fixed-order trained,4,1,8,0.6966274832007359
fixed-order trained,4,1,9,0.695655598618469
fixed-order trained,4,1,10,0.6959232612647517
fixed-order trained,4,1,11,0.6958162316047711
fixed-order trained,4,1,12,0.6747868537438143
fixed-order trained,4,1,13,0.6739787084424179
fixed-order trained,4,1,14,0.6812055568879438
fixed-order trained,4,1,15,0.6775313944954224
fixed-order trained,4,1,16,0.6735206598028836
fixed-order trained,4,1,17,0.6755265347953312
fixed-order trained,4,1,18,0.6706954073766602
fixed-order trained,4,1,19,0.6652532459413973
fixed-order trained,4,1,20,0.6802943023883515
fixed-order trained,4,1,21,0.6941177364938167
fixed-order trained,4,1,22,0.6882892598741986
fixed-order trained,4,1,23,0.6876401883693074
fixed-order trained,4,2,0,0.5972317340802152
fixed-order trained,4,2,1,0.5957804505265845
fixed-order trained,4,2,2,0.5888843597140349
fixed-order trained,4,2,3,0.5944665712909374
fixed-order trained,4,2,4,0.5928865565349204
fixed-order trained,4,2,5,0.582247367625121
fixed-order trained,4,2,6,0.6424575932659
fixed-order trained,4,2,7,0.6358116328755079
fixed-order trained,4,2,8,0.6480138445968437
fixed-order trained,4,2,9,0.6423438922801998
fixed-order trained,4,2,10,0.6372779842870179
fixed-order trained,4,2,11,0.6404122339725506
fixed-order trained,4,2,12,0.596122337172896
fixed-order trained,4,2,13,0.5949863240507985
fixed-order trained,4,2,14,0.5983100876002511
fixed-order trained,4,2,15,0.5976783524998026
fixed-order trained,4,2,16,0.5935590295165085
fixed-order trained,4,2,17,0.5945838232956666
fixed-order trained,4,2,18,0.5881923931352052
fixed-order trained,4,2,19,0.5818273797802387
fixed-order trained,4,2,20,0.6013850251304687
fixed-order trained,4,2,21,0.5996632808844338
fixed-order trained,4,2,22,0.594175036477915
fixed-order trained,4,2,23,0.5948079478703201
fixed-order trained,5,0,0,0.620900220857588
fixed-order trained,5,0,1,0.6252525110527412
fixed-order trained,5,0,2,0.6203780135698369
fixed-order trained,5,0,3,0.5785066253386975
fixed-order trained,5,0,4,0.6274133656477265
fixed-order trained,5,0,5,0.621905426777736
fixed-order trained,5,0,6,0.6168770201428868
fixed-order trained,5,0,7,0.5680216166690852
fixed-order trained,5,0,8,0.6421981947311988
fixed-order trained,5,0,9,0.6439218890847871
fixed-order trained,5,0,10,0.639965116470341
fixed-order trained,5,0,11,0.6211854249223223
fixed-order trained,5,0,12,0.5729519991487293
fixed-order trained,5,0,13,0.6189816374231287
fixed-order trained,5,0,14,0.6194829229676981
fixed-order trained,5,0,15,0.5688013812558947
fixed-order trained,5,0,16,0.6219257631254641
fixed-order trained,5,0,17,0.6400760924231933
fixed-order trained,5,0,18,0.5689058089297606
fixed-order trained,5,0,19,0.6149283588339989
fixed-order trained,5,0,20,0.5866425809362654
fixed-order trained,5,0,21,0.6213866302467624
fixed-order trained,5,0,22,0.6401872477746596
fixed-order trained,5,0,23,0.6247574855699979
fixed-order trained,5,1,0,0.6856412994733215
fixed-order trained,5,1,1,0.6743520461766954
fixed-order trained,5,1,2,0.6597569553429665
fixed-order trained,5,1,3,0.6206798775828759
fixed-order trained,5,1,4,0.6765677086782169
fixed-order trained,5,1,5,0.6864344708562614
fixed-order trained,5,1,6,0.6625116463095557
fixed-order trained,5,1,7,0.6177914313734347
fixed-order trained,5,1,8,0.6945767298239689
fixed-order trained,5,1,9,0.698412182414097
fixed-order trained,5,1,10,0.7058897543524476
fixed-order trained,5,1,11,0.6840224232269234
